InvoiceDate,SiteID,SiteName,Region,Supplier,Category,InvoiceID,Quantity,UnitCost,GrossSpend,PaymentTermsDays,SourceSystem,VAT,NetSpend,Contracted,DataQualityFlag
2025-03-18,S015,Brighton Care & Education Centre,South,NourishCo,Food & Catering,INV-2025-00601,19,98.57,1872.76,60,Legacy Spend File,374.552,1872.76,N,OK
2025-10-16,S014,Southampton Care & Education Centre,South,FreshServe,Food & Catering,INV-2025-00602,13,39.14,508.85,45,Legacy Spend File,101.77,508.85,Y,OK
2025-07-16,S004,Newcastle Care & Education Centre,North,CareTemps,Agency Labour,INV-2025-00603,63,483.99,30491.42,60,Legacy Spend File,6098.284,30491.42,N,OK
2025-05-22,S016,Cardiff Care & Education Centre,Wales,MediSure,Medical Supplies,INV-2025-00604,52,252.92,13152.09,30,Legacy Spend File,2630.418,13152.09,Y,OK
2025-07-22,S020,Bangor Care & Education Centre,Wales,HealthStaffing,Agency Labour,INV-2025-00605,43,376.6,16193.61,60,ERP,3238.722,16193.61,N,OK
2025-07-10,S012,Bristol Care & Education Centre,South,LearnWell,Office & Training,INV-2025-00606,3,210.55,631.65,45,Procurement Portal,126.33,631.65,N,OK
2025-12-23,S006,Birmingham Care & Education Centre,Midlands,TeleCare IT,IT & Telecoms,INV-2025-00607,13,143.75,1868.69,30,ERP,373.73800000000006,1868.69,N,OK
2025-05-18,S011,London Care & Education Centre,South,LearnWell,Office & Training,INV-2025-00608,54,37.82,2042.46,60,Legacy Spend File,408.492,2042.46,N,OK
2025-04-19,S007,Nottingham Care & Education Centre,Midlands,WaterGrid,Utilities,INV-2025-00609,53,93.99,4981.35,60,Procurement Portal,996.27,4981.35,N,OK
2025-09-21,S019,Wrexham Care & Education Centre,Wales,FleetFuel,Vehicle & Fuel,INV-2025-00610,21,216.31,4542.46,30,Procurement Portal,908.492,4542.46,Y,OK
2025-09-26,S020,Bangor Care & Education Centre,Wales,HealthStaffing,Agency Labour,INV-2025-00611,73,429.96,31386.81,30,ERP,6277.362000000001,31386.81,N,OK
2025-05-08,S003,Leeds Care & Education Centre,North,UK Energy Partners,Utilities,INV-2025-00612,5,242.47,1212.36,45,ERP,242.472,1212.36,N,OK
2025-07-08,S006,Birmingham Care & Education Centre,Midlands,WaterGrid,Utilities,INV-2025-00613,60,291.62,17497.06,60,Procurement Portal,3499.4120000000003,17497.06,N,OK
2025-01-16,S013,Reading Care & Education Centre,South,KitchenPro,Food & Catering,INV-2025-00614,31,35.0,1085.02,45,Procurement Portal,217.004,1085.02,N,OK
2025-08-31,S004,Newcastle Care & Education Centre,North,OfficePlus,Office & Training,INV-2025-00615,76,287.91,21881.24,60,Procurement Portal,4376.2480000000005,21881.24,N,OK
2025-12-19,S007,Nottingham Care & Education Centre,Midlands,SafeGuard FM,Facilities,INV-2025-00616,12,193.26,2319.1,45,ERP,463.82,2319.1,N,OK
2025-10-20,S002,Manchester Care & Education Centre,North,MediSure,Medical Supplies,INV-2025-00617,28,127.44,3568.37,30,Legacy Spend File,713.674,3568.37,Y,OK
2025-11-30,S004,Newcastle Care & Education Centre,North,WaterGrid,Utilities,INV-2025-00618,53,372.65,19750.31,60,ERP,3950.062,19750.31,N,OK
2025-03-09,S005,Sheffield Care & Education Centre,North,CareMed,Medical Supplies,INV-2025-00619,23,156.34,3595.87,60,ERP,719.174,3595.87,N,OK
2025-06-06,S013,Reading Care & Education Centre,South,NetServe,IT & Telecoms,INV-2025-00620,36,248.83,8957.82,45,Procurement Portal,1791.564,8957.82,N,OK
2025-04-22,S005,Sheffield Care & Education Centre,North,LearnWell,Office & Training,INV-2025-00621,60,48.56,2913.39,45,Legacy Spend File,582.678,2913.39,N,OK
2025-02-22,S014,Southampton Care & Education Centre,South,NurseLink,Agency Labour,INV-2025-00622,1,388.81,388.81,60,Legacy Spend File,77.762,388.81,N,OK
